No.,職業,ルート,ステータス,モンスター1,モンスター2,モンスター3,モンスター4,モンスター5,モンスター6,モンスター7,モンスター8,モンスター9,モンスター10,モンスター11,モンスター12,モンスター13,モンスター14,モンスター15,モンスター16,モンスター17,モンスター18,モンスター19
1,ゴッドハンド,最初の道（Lv.1以上）,"最大HP＋15
みのまもり＋15
ちから＋15
ゴッドレイジ発動率＋2％",スライム,スライムベス,バブルスライム,スライムかがみもち,,,,,,,,,,,,,,,
2,ゴッドハンド,武道ルート①（Lv.5以上）,"ゴッドレイジ威力アップ＋25％
ゴッドレイジ発動率＋4％
最大MP＋5
すばやさ＋5",スライムベス,おおさそり,,,,,,,,,,,,,,,,,
3,ゴッドハンド,守護道ルート①（Lv.5以上）,"ゴッドガード発動率＋8％
ゴッドガード反撃ダメージ＋250％
みのまもり＋20
ちから＋20",いたすらもぐら,いっかくウサギ,どくろあらい,しのどれい,てつのさそり,くさった死体,ひとくいサーベル,しびれくらげ,ストーンマン,ハロウィンゴースト,さまようよろい,,,,,,,,
4,ゴッドハンド,武道ルート②（Lv.10以上）,"すてみ
さいだいMP＋5【バトマス】練度2以上で+15
すばやさ＋5
ちから＋15",メイジキメラ,メガザルロック,メーダロード,マポレーナ,エビルマージ,エビルトレント,,,,,,,,,,,,,
5,ゴッドハンド,守護道ルート②（Lv.10以上）,"もくそう
みのまもり＋15【パラディン】練度2以上で+10
さいだいHP＋15
ちから＋15",亡者のひとだま,ダークキャンドル,エビルソーサラー,クリスタルハンド,エルダーフレイム,,,,,,,,,,,,,,
6,ゴッドハンド,武道ルート③（Lv.20以上）,"ゴッドレイジ発動率＋5％
ゴッドレイジ威力アップ＋20％
さいだいHP＋15
スキルの斬撃・体技ダメージ＋2％",わらいぶくろ,スウィートバッグ,ツンドラキー,,,,,,,,,,,,,,,,
7,ゴッドハンド,守護道ルート③（Lv.20以上）,"ゴッドガードダメージ軽減率＋15％
ゴッドチェイン発動時のガード率＋10％
ちから＋20
スキルの斬撃・体技ダメージ＋3％",リリパット,おおくちばし,ハートナイト,ピンクボンボン,ふくぶくろ,,,,,,,,,,,,,,
8,ゴッドハンド,武道ルート④（Lv.30以上＆ダーマ試練）,"戦鬼解放
幻惑耐性＋3％
すばやさ＋5【バトマス】練度4以上で+15
ちから＋20",キングスライム,キングスライム(覚醒),ベスキング,スカラベキング,キングリザード,ワイトキング,メタルキング,ワイトキング(覚醒),キングツンドラキー,ホワイトキング,キングミミック,,,,,,,,
9,ゴッドハンド,守護道ルート④（Lv.30以上＆ダーマ試練）,"騎士道精神
ちから＋25【パラディン】練度4以上で+10
さいだいHP＋15
スキルの斬撃・体技ダメージ＋2％",メタルドラゴン,ドラゴメタル,メタルつむり,メタルドラゴン(覚醒),メタルキング,メタルダーク,メタルドラゴンRR,メタルスコーピオン,,,,,,,,,,,
10,ゴッドハンド,武道ルート⑤（Lv.40以上）,"ゴッドレイジ威力アップ＋15％
ゴッドレイジ発動率＋3％
ちから＋10【バトマス】練度6以上で+10
スキルの斬撃・体技ダメージ＋3％",ブラックドラゴン,アイスフライ,スカイドル,,,,,,,,,,,,,,,,
